date,gross_equity,net_equity
2020-11-12 00:00:00+00:00,99997.18998085998,96022.68683816388
2020-11-13 00:00:00+00:00,99992.00533336643,96017.70826043849
2020-11-14 00:00:00+00:00,99999.45891932181,96024.86559506113
2020-11-15 00:00:00+00:00,99997.86242850835,96023.3325586083
2020-11-16 00:00:00+00:00,100000.7906636446,96026.14440767658
2020-11-17 00:00:00+00:00,100013.64252301634,96038.48545513977
2020-11-18 00:00:00+00:00,99998.339172362,96023.79035373003
2020-11-19 00:00:00+00:00,100041.01662746412,96064.77154437255
2020-11-20 00:00:00+00:00,100021.97227010687,96046.4841268671
2020-11-21 00:00:00+00:00,99998.78103488227,96024.21465391704
2020-11-22 00:00:00+00:00,100022.84722410367,96047.32430481257
2020-11-23 00:00:00+00:00,100039.6135773398,96063.42426008651
2020-11-24 00:00:00+00:00,100053.04239039903,96076.3193295504
2020-11-25 00:00:00+00:00,100066.55538141793,96089.29523122429
2020-11-26 00:00:00+00:00,100067.30744509713,96090.01740326894
2020-11-27 00:00:00+00:00,100050.42970277225,96073.81048619348
2020-11-28 00:00:00+00:00,100052.9357941988,96076.21697013854
2020-11-29 00:00:00+00:00,100040.44241072488,96064.22015053694
2020-11-30 00:00:00+00:00,100060.86332243108,96083.82940965802
2020-12-01 00:00:00+00:00,100058.92988953198,96081.97282326965
2020-12-02 00:00:00+00:00,100043.4815869895,96067.13853125104
2020-12-03 00:00:00+00:00,100038.07544160956,96061.9472593271
2020-12-04 00:00:00+00:00,100047.29727399227,96070.80255939232
2020-12-05 00:00:00+00:00,100037.06361699385,96060.97565084262
2020-12-06 00:00:00+00:00,100021.68059001512,96046.20403993552
2020-12-07 00:00:00+00:00,100027.53099013877,96051.8219091882
2020-12-08 00:00:00+00:00,100033.40687576319,96057.4642509912
2020-12-09 00:00:00+00:00,100024.30433297252,96048.7234992162
2020-12-10 00:00:00+00:00,100015.91703363208,96040.66956271921
2020-12-11 00:00:00+00:00,100021.53561327676,96046.06482546407
2020-12-12 00:00:00+00:00,99993.68505498115,96019.32121958876
2020-12-13 00:00:00+00:00,100020.72643071243,95757.22984113118
2020-12-14 00:00:00+00:00,100034.04938691591,95769.98489125795
2020-12-15 00:00:00+00:00,100037.3079676214,95773.10457127535
2020-12-16 00:00:00+00:00,100030.1122285788,95766.21555874798
2020-12-17 00:00:00+00:00,99999.70420332547,95737.10370996316
2020-12-18 00:00:00+00:00,99981.6209770754,95719.79130168451
2020-12-19 00:00:00+00:00,99983.81048113976,95721.88747566176
2020-12-20 00:00:00+00:00,99983.193389843,95721.29668857947
2020-12-21 00:00:00+00:00,100002.16428673496,95739.45892953494
2020-12-22 00:00:00+00:00,100001.53694568588,95738.8583296076
2020-12-23 00:00:00+00:00,100006.29189627155,95743.41059504662
2020-12-24 00:00:00+00:00,99998.86527685297,95736.30054368041
2020-12-25 00:00:00+00:00,100014.34972488272,95751.12494959967
2020-12-26 00:00:00+00:00,100003.00335832249,95740.26223474705
2020-12-27 00:00:00+00:00,99971.46849996001,95710.07158538884
2020-12-28 00:00:00+00:00,99972.63851269541,95711.19172500809
2020-12-29 00:00:00+00:00,99963.6439670318,95702.58058202639
2020-12-30 00:00:00+00:00,99948.90877021254,95688.47348963736
2020-12-31 00:00:00+00:00,99955.8990009328,95695.16575386706
2021-01-01 00:00:00+00:00,99950.44306126812,95689.94237980136
2021-01-02 00:00:00+00:00,99951.68885641493,95404.06524438162
2021-01-03 00:00:00+00:00,99954.62809767383,95406.87075540442
2021-01-04 00:00:00+00:00,99940.23781916431,95393.13520890675
2021-01-05 00:00:00+00:00,99941.720817297,95394.55073326884
2021-01-06 00:00:00+00:00,99952.62779007919,95404.96145823845
2021-01-07 00:00:00+00:00,99982.50549724353,95433.47978300386
2021-01-08 00:00:00+00:00,100002.59331431493,95452.65364021852
2021-01-09 00:00:00+00:00,100046.44390925688,95494.50911128371
2021-01-10 00:00:00+00:00,100032.16632761332,95480.88113414556
2021-01-11 00:00:00+00:00,100050.52354923588,95498.40313491834
